7,2,21,26,0
8,1,26,29,0
9,2,26,26,0
10,2,23,34,0
11,2,20,37,0
12,2,18,37,0
13,2,26,38,1
14,2,29,39,1
15,2,26,38,1
16,2,34,44,1
17,2,37,34,1
18,2,37,41,0
19,2,38,52,1
20,2,39,54,1
21,2,38,36,1
22,2,44,48,1
23,2,34,44,1
24,2,41,45,1
25,2,52,44,1
26,2,54,44,1
27,2,36,45,1
28,2,48,35,1
29,2,44,56,1
30,2,45,55,1
31,2,44,58,1
32,2,44,53,1
33,2,45,37,0
34,2,35,56,1
35,2,56,66,1
36,2,55,56,1
37,2,58,69,1
38,2,53,60,1
39,2,37,70,0
40,2,56,70,1
41,2,66,68,1
42,2,56,60,1
43,2,69,59,1
44,2,60,73,1
45,2,70,90,1
46,2,70,97,1
47,2,68,100,1
48,2,60,132,0
49,2,59,156,1
50,2,73,160,1
51,2,90,197,1
52,2,97,208,1
53,2,100,247,1
54,2,132,276,1
55,2,156,295,1
56,2,160,264,1
57,2,197,287,1
58,2,208,278,1
59,2,247,286,1
60,2,276,274,1
61,2,295,279,1
62,2,264,289,1
63,2,287,290,1
64,2,278,292,1
65,2,286,300,1
66,2,274,281,1
67,2,279,295,1
68,2,289,288,1
69,2,290,281,1
70,2,292,306,1
71,2,300,316,1
72,2,281,367,1
73,2,295,382,1
74,2,288,397,1
75,2,281,430,1
76,2,306,435,1
77,2,316,460,1
78,2,367,499,1
79,2,382,490,1
80,2,397,469,1
81,2,430,461,1
82,2,435,484,1
83,2,460,506,1
84,2,499,494,1
85,2,490,533,1
86,2,469,439,1
87,2,461,482,1
88,2,484,512,1
89,2,506,501,1
90,2,494,530,1
91,2,533,510,1
92,2,439,557,1
93,2,482,567,1
94,2,512,576,1
95,2,501,635,1
96,2,530,674,1
97,2,510,681,1
98,2,557,674,1
99,2,567,676,1
100,2,576,675,1
101,2,635,696,1
102,2,674,692,1
103,2,681,712,1
104,2,674,715,1
105,2,676,733,1
106,2,675,748,1
107,2,696,763,1
108,2,692,752,1
109,2,712,728,1
110,2,715,734,1
111,2,733,760,1
112,2,748,792,1
113,2,763,825,1
114,2,752,831,1
115,2,728,813,1
116,2,734,801,1
117,2,760,812,1
118,2,792,801,1
119,1,825,860,1
120,1,831,841,1
121,1,813,854,1
122,1,801,900,1
123,1,812,886,1
124,1,801,928,1
125,1,860,953,1
126,1,841,998,1
127,1,854,974,1
128,1,900,962,1
129,1,886,935,1
130,1,928,923,1
131,1,953,935,1
132,1,998,949,1
133,1,974,938,1
134,1,962,948,1
135,1,935,958,1
136,1,923,969,1
137,1,935,954,1
138,1,949,938,1
139,1,938,941,1
140,1,948,938,1
141,1,958,957,1
142,1,969,940,1
143,1,954,964,1
144,1,938,969,1
