31,28,1
29,29,1
28,33,1
36,31,1
31,35,1
31,39,1
28,37,0
29,41,1
33,32,1
31,34,1
35,44,0
39,41,1
37,35,0
41,38,1
32,52,1
34,35,1
44,36,0
41,33,1
35,26,1
38,40,1
52,30,0
35,27,0
36,27,0
33,32,1
26,38,0
40,42,1
30,31,1
27,27,1
27,36,1
32,30,1
38,38,1
42,41,1
31,36,1
27,32,1
36,48,1
30,49,1
38,41,1
41,32,1
36,40,1
32,40,1
48,42,1
49,50,1
41,33,1
32,47,1
40,49,1
40,43,1
42,45,1
50,57,1
33,44,1
47,49,1
49,51,1
43,44,1
45,49,1
57,50,1
44,52,1
49,48,1
51,61,1
44,51,1
49,55,1
50,51,1
52,45,1
48,46,1
61,40,1
51,53,1
55,47,1
51,46,1
45,43,1
46,34,1
40,41,1
53,50,1
47,47,1
46,49,1
43,49,1
34,48,1
41,43,1
50,53,1
47,54,1
49,51,1
49,45,1
48,52,1
43,52,1
53,47,1
54,44,1
51,53,1
45,52,1
52,49,1
52,58,1
47,43,1
44,43,1
53,50,1
52,41,1
49,57,1
58,54,1
43,58,1
43,53,1
50,48,1
41,49,1
57,46,1
54,50,1
58,42,1
53,48,1
48,53,1
49,52,1
46,56,1
50,46,1
42,46,1
48,51,1
53,56,1
52,55,1
56,47,0
46,42,1
46,59,1
51,52,1
56,51,1
55,55,1
47,58,1
42,50,1
59,57,1
52,59,1
51,55,1
55,52,1
58,47,1
50,53,0
57,55,1
59,58,1
55,53,1
52,51,1
47,56,1
53,64,1
55,62,1
58,64,1
53,49,1
51,63,1
56,57,1
64,59,1
62,54,1
64,61,1
49,61,1
63,58,1
57,56,1
59,57,1
54,58,1
61,63,1
61,61,1
58,61,1
56,61,1
57,72,1
58,62,1
63,58,1
61,70,1
61,63,1
61,60,1
72,59,1
62,59,1
58,64,1
70,58,1
63,64,1
60,50,1
59,60,1
59,64,1
64,62,1
58,64,1
64,75,1
50,69,1
60,76,1
64,70,1
62,70,1
64,76,1
75,68,1
69,69,1
76,65,1
70,66,1
70,74,1
76,80,1
68,66,1
69,62,1
65,69,1
66,63,1
74,67,1
80,66,1
66,67,1
62,64,1
69,69,1
63,68,1
67,68,1
66,68,1
